job_id,title,company,location,is_active,job_state,posted_time,employment_type,experience_level,salary,applicants,linkedin_url,description,scraped_at
4354819464,Software R&D Engineer (Remote),WorkNomads,"Sofia, Sofia City, Bulgaria",True,LISTED,1 week ago,Full-time,Associate,,45 applicants,https://www.linkedin.com/jobs/view/4354819464/,"WorkNomads is seeking a
Software R&D Engineer
to join our diverse team, working remotely from the EU or from the WorkNomads base in Sofia, Bulgaria.
The R&D Development Engineer is responsible not only for delivering technically sound solutions but also for ensuring that all systems meet high standards of security, reliability, and compliance. This includes designing secure APIs, protecting sensitive data across mobile and backend systems, proactively managing vulnerabilities, and embedding security best practices throughout the development lifecycle.
In this role, the engineer takes technical ownership of the platform and maintains uniformity within the team. Conduct high-quality code reviews, support other engineers, and document key technical decisions to ensure long-term maintainability and shared understanding.
Beyond pure engineering, the candidate should demonstrate strong product and business awareness, translating product goals into scalable and cost-effective technical solutions. They actively balance delivery speed, technical debt, system robustness, and operational cost, discussing trade-offs transparently and aligned with business priorities.
Success in this role requires
exceptional communication skills,
the ability to make informed decisions under uncertainty, and a strong
sense of ownership
. The engineer will collaborate with product, design, and operations teams, challenge assumptions constructively, and support the engineering organization in delivering sustainable value over time.
The tools in your backpack:
3-5 years of experience
Python - Backend services, data processing, async programming, FastAPI, Flask, Django
IOS native app development
RESTful API design and implementation
Microservices architecture
Nginx hand-on experience
Databased and Data layers – PostgreSQL/MySQL/ SQLite
NoSQL databases – MongoDB
Containers and deployment strategies and applications (Docker, Kubernetes, CI/CD pipelines)
Other nice-to-have tools:
AI integration and deployment
Flutter/Dart knowledge
C/C++ experience
MS Azure, Firebase, or any other cloud system
NoSQLdatabases
Our recipe for a great life in Bulgaria:
The opportunity to participate in our new nomadic economy, instead of watching it happen from the side-lines
A personalized career development program
An environment where your opinion matters, and you manage your own work-life balance
International and dynamic workplace
Coverage for internet and phone bills equal to 100 BGN / 50 EUR net
Employment or Freelancer contract with WorkNomads
Competitive remuneration and social welfare package
Team get-togethers and networking events are in our DNA!
Need a place to live? Digitally check in to your spacious room in our WN LAB Hotel, the biggest and coolest 4-star co-living hotel in Bulgaria. No deposit, and special discount rates for single apartments starting from 660 EUR/month (utilities and cleaning included!).
= TOTAL(LY): amazing life & work with WorkNomads
About the docking station:
WorkNomads is a global employer for digital nomads, empowering people to live life their way, offering flexible co-living and remote and project-based jobs.
Interest piqued? Join us!
We celebrate the right of every human to be themselves and provide opportunities for global talent to shine.
Show more
Show less
Seniority level
Associate
Employment type
Full-time
Job function
Other
Industries
Human Resources Services",2026-01-25T20:10:23.510011
4312138598,Enterprise Architect (Remote),WorkNomads,"Sofia, Sofia City, Bulgaria",True,LISTED,3 months ago,Full-time,Mid-Senior level,,58 applicants,https://www.linkedin.com/jobs/view/4312138598/,"WorkNomads is seeking an Enterprise Architect to join our diverse team, working remote from the EU or from the WorkNomads base in Sofia, Bulgaria.
Dare to have a mission:
Lead large-scale digital transformation projects for manufacturing organizations, from vision to execution
Define and implement enterprise architecture frameworks that connect cloud, edge, IoT/IIoT, data analytics, and AI/ML ecosystems
Translate business strategy into actionable technology roadmaps aligned with scalability, performance, and cost efficiency
Ensure architecture meets the highest standards for security, compliance, and governance across all layers
Collaborate with cross-functional teams to align business, data, application, and infrastructure architectures
Guide stakeholders through architecture decisions, balancing innovation with operational excellence
Mentor and coach teams, fostering a culture of architecture discipline, innovation, and continuous improvement
The tools in your backpack:
10+ years of experience in IT architecture roles
Experience with GCP
Deep expertise in cloud, edge computing, IoT/IIoT, data analytics, and AI/ML platforms
Strong knowledge of security, privacy, and compliance frameworks (ISO, GDPR, etc.)
Ability to travel within the EU
Experience with Salesforce
Excellent communication and stakeholder-management skills; capable of influencing at all levels
Experience working in global, distributed teams
Strategic thinker with hands-on experience designing and integrating complex enterprise systems
Our recipe for a great life in Bulgaria:
The opportunity to participate in our new nomadic economy, instead of watching it happen from the side-lines
A personalized career development program
An environment where your opinion matters, and you manage your own work-life balance
International and dynamic workplace
Coverage for internet and phone bills equal to 100 BGN / 50 EUR net
Employment or Freelancer contract with WorkNomads
Competitive remuneration and social welfare package
Team get-togethers and networking events are in our DNA!
Need a place to live? Digitally check in to your spacious room in our WN LAB Hotel, the biggest and coolest 4★ co-living hotel in Bulgaria. No deposit, and special discount rates for single apartments starting from 660 EUR/month (utilities and cleaning included!).
= TOTAL(LY): amazing life & work with WorkNomads
About the docking station:
WorkNomads is a global employer for digital nomads, empowering people to live life their way, offering flexible co-living and remote and project-based jobs.
Interest piqued? Join us!
We celebrate the right of every human to be themselves and provide opportunities for global talent to shine.
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Other
Industries
Human Resources Services",2026-01-25T20:10:25.426490
4354426133,Accountant (Hybrid),WorkNomads,"Sofia, Sofia City, Bulgaria",True,LISTED,1 week ago,Full-time,Mid-Senior level,,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/4354426133/,"We are looking for a professional with a strong background in Bulgarian accounting who can handle diverse financial tasks and contribute to the smooth financial operations of our company. If you have a comprehensive understanding of accounting processes and enjoy working in international environment, we would love to hear from you!
Dare to Have a Mission:
Preparation and maintenance of financial records, ensuring accuracy and compliance with accounting standards.
Perform data entry and reconcile accounts payable and receivable.
Process invoices, payments, and expense reports.
Preparation of monthly, quarterly, and annual financial statements and reports.
Conduct bank reconciliations and monitor cash flow.
Support the month-end and year-end closing processes.
Maintain and update accounting databases and systems.
Assist with audits, providing necessary documentation and information.
Respond to inquiries from vendors, customers, and internal departments.
Ensure compliance with company policies and procedures.
Provide support to the accounting team with various projects and tasks as needed.
The Tools in Your Backpack:
Bachelor’s degree in Accounting, Finance, or a related field.
8+ years of accounting experience in Bulgaria.
Strong understanding of accounting principles and practices.
Proficiency in MS Office Suite, particularly Excel.
Strong knowledge of general accounting principles, financial reporting, and tax regulations.
Experience with hotel, restaurant, or inventory accounting is a plus.
Familiarity with accounting software is a plus.
Strong attention to detail and accuracy.
Excellent organizational and time management skills.
Ability to work independently and as part of a team.
Good communication and interpersonal skills.
Our Recipe for a Great Life in Bulgaria:
A Hybrid opportunity to participate in our new nomadic economy instead of watching it happen from the sidelines.
A personalized career development program.
An environment where your opinion matters, and you manage your own work-life balance.
An international and dynamic workplace.
Competitive remunerationand a social welfare package, including:
25 days annual paid leave
Private health insurance
Various community benefits and events
Interest Piqued? Join Us!
We celebrate
diversity and inclusion
, creating an environment where different voices are respected, heard, and empowered equally. Be part of designing a new
nomadic economy
, enabling people to do what they love and be where they want.
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Other
Industries
Human Resources Services",2026-01-25T20:10:27.350596
4312126803,Infrastructure Architect (Remote),WorkNomads,"Sofia, Sofia City, Bulgaria",True,LISTED,3 months ago,Full-time,Mid-Senior level,,57 applicants,https://www.linkedin.com/jobs/view/4312126803/,"WorkNomads is seeking an Infrastructure Architect to join our diverse team, working remote from the EU or from the WorkNomads base in Sofia, Bulgaria.
Dare to have a mission:
Design and implement infrastructure architectures for manufacturing clients ensuring reliability, performance, and security
Lead cloud transformation initiatives with a focus on Google Cloud Platform (GCP)
Architect virtualization and network solutions using VMware, Hyper-V, SD-WAN, VPNs, and industrial network segmentation
Drive automation with Terraform, Ansible, PowerShell, and CI/CD pipelines
Implement security frameworks such as Zero Trust, identity management, and encryption
Collaborate with manufacturing and engineering teams to align infrastructure design with business needs and compliance
Provide technical leadership in incident response, capacity planning, and infrastructure optimization
The tools in your backpack:
8+ years of experience in infrastructure roles, with leadership responsibility
Proven track record of delivering infrastructure projects in manufacturing environments
Cloud platforms: GCP (must-have)
Virtualization: VMware, Hyper-V
Networking: SD-WAN, VPNs, industrial network segmentation
Automation: Terraform, Ansible, PowerShell, CI/CD
Security: Zero Trust frameworks, IAM, encryption practices
Ability to travel within the EU
Strong communication and coordination skills across multi-disciplinary teams
Our recipe for a great life in Bulgaria:
The opportunity to participate in our new nomadic economy, instead of watching it happen from the side-lines
A personalized career development program
An environment where your opinion matters, and you manage your own work-life balance
International and dynamic workplace
Coverage for internet and phone bills equal to 100 BGN / 50 EUR net
Employment or Freelancer contract with WorkNomads
Competitive remuneration and social welfare package
Team get-togethers and networking events are in our DNA!
Need a place to live? Digitally check in to your spacious room in our WN LAB Hotel, the biggest and coolest 4★ co-living hotel in Bulgaria. No deposit, and special discount rates for single apartments starting from 660 EUR/month (utilities and cleaning included!).
= TOTAL(LY): amazing life & work with WorkNomads
About the docking station:
WorkNomads is a global employer for digital nomads, empowering people to live life their way, offering flexible co-living and remote and project-based jobs.
Interest piqued? Join us!
We celebrate the right of every human to be themselves and provide opportunities for global talent to shine.
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Other
Industries
Human Resources Services",2026-01-25T20:10:29.287504
4329212158,Sales Specialist with French (Remote),WorkNomads,"Sofia, Sofia City, Bulgaria",True,LISTED,1 month ago,Full-time,Entry level,,36 applicants,https://www.linkedin.com/jobs/view/4329212158/,"We are seeking a French Sales Specialist to join our dynamic team and support an exciting project in the world of payments and trusted transactions. As part of our team, you’ll be representing an international brand and engaging with French customers. You will work in a remote capacity but have the opportunity to connect with colleagues and clients from around the globe.
As a
Sales Specialist
, your key responsibilities will include:
Leverage your natural sales skills to close deals, upsell solutions, and drive new contracts with prospective clients.
Assist customers through the digital onboarding process, ensuring a smooth experience.
Manage calls and chats, providing personalized support to prospects and customers in the financial sector.
Be the voice of the brand, delivering a positive, professional image to clients.
Oversee the administrative aspects of client relationships, ensuring timely and accurate records.
To succeed in this role, you should have:
Fluency in French and English (both written and spoken) is essential.
Previous experience in sales or customer service is highly advantageous, but we’re open to training the right candidate.
You can build rapport with customers and colleagues alike.
You think on your feet and come up with creative solutions to challenges.
You are flexible and comfortable working in a dynamic, evolving environment.
A positive, can-do attitude and a readiness to help are key traits you bring to the table.
Ability to work in predetermined shifts
What we offer:
Work remotely anywhere in the EU!
Regular working hours (no evening and weekend shifts)
Competitive remuneration potential that consists of a guaranteed monthly salary plus transparent, reachable success driven bonuses. Monthly gross 3420 BGN if you are on an Employment contract / 2100 EUR if you are on a freelancer contract with unlimited bonus potential.
Coverage for internet and phone bills equal to 100 BGN / 50 EUR net
Referral bonus
Team get-togethers and networking events are in our DNA!
Need a place to live? Digitally check in to your spacious room in our WN LAB Hotel, the biggest and coolest 4* co-living hotel in Bulgaria. With no need to pay a deposit, and special discount rates for single apartments, starting from 660 EUR per month (utilities and cleaning included!), we've got you covered.
= TOTAL(LY): amazing life & work with WorkNomads
About the docking station:
WorkNomads is a global employer for digital nomads, empowering people to live life their way, offering flexible co-living and remote and project-based jobs.
Interest piqued? Join us!
We celebrate the right of every human to be themselves and provide opportunities for global talent to shine. Diversity, social equity, and inclusion are at the core of who we are. We create an environment where different voices are respected, heard, and empowered in equal measure. We’re breaking down the boundaries by designing a new nomadic economy by enabling people to do what they love and be where they want.
Show more
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Other
Industries
Human Resources Services",2026-01-25T20:10:31.237134
4322123831,Sales Specialist: Italian & French (Remote),WorkNomads,"Sofia, Sofia City, Bulgaria",True,LISTED,2 months ago,Full-time,Entry level,,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/4322123831/,"We are seeking an Italian & French speaking Sales Specialist to join our dynamic team and support an exciting project in the world of payments and trusted transactions. As part of our team, you’ll be representing an international brand and engaging with Italian customers. You will work in a remote capacity but have the opportunity to connect with colleagues and clients from around the globe.
As a
Sales Specialist
, your key responsibilities will include:
Leverage your natural sales skills to close deals, upsell solutions, and drive new contracts with prospective clients.
Assist customers through the digital onboarding process, ensuring a smooth experience.
Manage calls and chats, providing personalized support to prospects and customers in the financial sector.
Be the voice of the brand, delivering a positive, professional image to clients.
Oversee the administrative aspects of client relationships, ensuring timely and accurate records.
To succeed in this role, you should have:
Fluency in Italian, French and English (both written and spoken) is essential.
Previous experience in sales or customer service is highly advantageous, but we’re open to training the right candidate.
You can build rapport with customers and colleagues alike.
You think on your feet and come up with creative solutions to challenges.
You are flexible and comfortable working in a dynamic, evolving environment.
A positive, can-do attitude and a readiness to help are key traits you bring to the table.
Ability to work in predetermined shifts.
What we offer:
Work remotely anywhere in the EU!
Regular working hours (no evening and weekend shifts)
Competitive remuneration potential that consists of a guaranteed monthly salary plus transparent, reachable success driven bonuses. Monthly gross 3420 BGN if you are on an Employment contract / 2100 EUR if you are on a freelancer contract with unlimited bonus potential.
Coverage for internet and phone bills equal to 100 BGN / 50 EUR net
Referral bonus
Team get-togethers and networking events are in our DNA!
Need a place to live? Digitally check in to your spacious room in our WN LAB Hotel, the biggest and coolest 4* co-living hotel in Bulgaria. With no need to pay a deposit, and special discount rates for single apartments, starting from 660 EUR per month (utilities and cleaning included!), we've got you covered.
= TOTAL(LY): amazing life & work with WorkNomads
About the docking station:
WorkNomads is a global employer for digital nomads, empowering people to live life their way, offering flexible co-living and remote and project-based jobs.
I
nterest piqued? Join us!
We celebrate the right of every human to be themselves and provide opportunities for global talent to shine. Diversity, social equity, and inclusion are at the core of who we are. We create an environment where different voices are respected, heard, and empowered in equal measure. We’re breaking down the boundaries by designing a new nomadic economy by enabling people to do what they love and be where they want.
Show more
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Other
Industries
Human Resources Services",2026-01-25T20:10:33.201039
4332568901,Quality Support Specialist - contact centre in Sint-Truiden - Automotive,WorkNomads,"St-Truiden, Flemish Region, Belgium",True,LISTED,1 week ago,Full-time,Mid-Senior level,,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/4332568901/,"As a Quality Support Specialist you act as the
quality guardian and operational accelerator
of the team. You are the link between agents, team coaches and the client, ensuring consistent quality and smooth processes.
You will:
Work closely with Team Coaches and our client to strengthen the customer experience.
Contribute to a positive, educational and motivating team atmosphere.
Support agents with quality and process questions, ensuring clarity and consistency in daily operations.
Share performance insights and observations to help Team Coaches prepare for call monitoring and coaching sessions.
Provide structured feedback on escalated or complex cases.
Identify areas for improvement and convert your findings into clear and concrete actions.
Help the team achieve SLA targets by supporting traffic awareness, efficiency initiatives and productivity follow-up.
Provide Coaching and feedback when necessary.
In short:
you take our services and our people to a higher level.
Who You Are
A true quality enthusiast — detail-oriented, structured and committed to excellence.
Someone who enjoys working with people and sees their growth as shared success.
Fully fluent in Dutch and French, essential for this role.
Experienced in customer contact or quality/process support, preferably in a contact center or automotive environment.
Analytical, empathetic and a strong, clear communicator.
What We Offer You
A job in which quality and humanity go hand in hand.
A warm team that strives together for strong results.
Training, coaching and growth opportunities within a major contact center.
An attractive salary package with extras.
The opportunity to help build the customer experience of a major car brand.
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Other
Industries
Human Resources Services",2026-01-25T20:10:35.113984
4240718272,Front Office Host - Hotel & Guest lounge (Onsite),WorkNomads,"Sofia, Sofia City, Bulgaria",True,LISTED,7 months ago,Full-time,Mid-Senior level,,84 applicants,https://www.linkedin.com/jobs/view/4240718272/,"Job Description
We are seeking a dynamic and service-oriented Front Office Host to support our digitally managed hotel operation. This hybrid role combines guest reception duties with beverage service in our guest lounge and breakfast area, which shares space with the hotel’s restaurant. You will provide warm, personal service, guide guests through the digital check-in process and coordinate with hotel staff and procedures. You’ll also support hotel breakfast and assist in serving drinks and light meals during the day.
This position is ideal for someone with hospitality or F&B experience who thrives in a digital, guest-facing environment and enjoys delivering both operational excellence and heartfelt service.
Dare to have a mission
Front Office & Guest Experience
Greet and assist guests through the digital check-in and check-out process
Ensure guests are accommodated in rooms that reflect their booking details and preferences
Maintain awareness of in-house and arriving guests, including special requests and VIPs
Coordinate with housekeeping to ensure timely room readiness
Process payments for extra services (upgrades, late check-out, etc.)
Monitor digital systems and guest communications to resolve any concerns proactively
Provide basic concierge-style support and coordinate with the back office for smooth operations
Breakfast & Lounge Service
Set up and monitor the hotel breakfast service (buffet or à la carte as applicable)
Welcome guests for breakfast, assist with any special dietary needs or preferences
Serve drinks and light meals during the day in the lounge or restaurant area
Maintain cleanliness and atmosphere of the lounge area, ensuring a pleasant guest environment
Follow food safety and hygiene standards
The tools in your Backpack
Prior experience in hotel front office, hospitality, or F&B service
Confident with digital tools and PMS platforms (e.g., Cloudbeds, Opera, tablets, POS systems)
Comfortable handling food and beverages
Fluent in English and Bulgarian (other languages are a plus)
Strong communication and multitasking skills
Service-first mindset and a natural host personality
Well-groomed, presentable, and reliable
Able to work flexible shifts, including mornings, weekends, and holidays
Our recipe for a great life in Bulgaria:
The opportunity to participate in our new nomadic economy, instead of watching it happen from the side-lines
A personalized career development program
An environment where your opinion matters, and you manage your own work-life balance
International and dynamic workplace
Onsite access to co-working spaces, meeting rooms, an event rooftop, communal kitchens, sports, and leisure areas & parking
Competitive remuneration and social welfare package (such as 25 days annual paid leave, private health insurance, and various community benefits and events)
Low cost of living in parallel with low personal income tax, growing your purchasing power to wine, dine and travel & work abroad & remote!
= TOTAL(LY)
: amazing life & work with WorkNomads
About The Docking Station
WorkNomads is a global employer for digital nomads, empowering people to live life their way, offering flexible co-living and remote and project-based jobs
Interest piqued? Join us!
We celebrate the right of every human to be themselves and provide opportunities for global talent to shine. Diversity, social equity, and inclusion are at the core of who we are. We create an environment where different voices are respected, heard and empowered in equal measure. We’re breaking down the boundaries by designing a new nomadic economy by enabling people to do what they love and be where they want.
Show more
Show less
Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Other
Industries
Human Resources Services",2026-01-25T20:10:37.041746
4321832217,"Digital IC Design Engineer (Hybrid from Sofia, Paris or Dresden)",WorkNomads,"Sofia, Sofia City, Bulgaria",True,LISTED,2 months ago,Full-time,Entry level,,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/4321832217/,"About The Role
At Work Nomads, we're searching for a
Digital IC Design Engineer
who doesn't just design circuits but becomes the mastermind behind them. As our Digital IC Design Engineer, you'll play a pivotal role in crafting the digital core of our cutting-edge integrated circuits. Here's your chance to own every aspect of your designs and bring them to life in an environment filled with opportunities and challenges.
Responsibilities
:
You will dive into the development of our innovative digital platform, pushing the
boundaries of what's possible in the semiconductor industry;
Collaborate with System Architects: Join forces with our System Architects to
seamlessly blend Analog, Digital, and Software functionalities, unlocking new
dimensions of performance;
Contribute your expertise to the architectural blueprint,
ensuring it's optimized for efficiency, safety, low power, and testability;
Deliver Impeccable Verification: Harness your prowess in System Verilog and
UVM to implement top-notch automated verification. Explore formal proof, fault
injection, and ATPG to guarantee quality and precision
Document and Support: Share your knowledge by providing valuable
documentation and support to our analog, verification, test, and quality team.
The tools in your backpack:
Engineering Master's Degree or PhD: You bring the educational firepower
required, with a strong foundation in microelectronics
Minimum 5 years of experience in IC Design and willingness to strengthen digital design
expertise
Understanding design principles, architecture and simulations
Collaboration is in your DNA. You thrive in a cross-country, multicultural team-oriented environment, leveraging your analytical skills to drive innovation
You're not satisfied with the status quo. You actively seek to stay updated with the latest trends and technologies in digital design to contribute to exhibitions, IEEE articles etc.
Fluency in English
Our recipe for great life in Bulgaria:
The opportunity to participate to our new nomadic economy, instead of watching it happen from the side-lines
A personalized career development program and a vast array of available courses and trainings
An environment where your opinion matters, and you manage your own work life balance
International and dynamic workplace
All-inclusive flexible co-living experience built on the concept of sharing economy
Onsite access to co-working spaces, meeting rooms, an event rooftop, communal kitchens, sports, and leisure areas & parking
Competitive remuneration and social welfare package (such as 25 days annual paid leave, private health insurance, and various community benefits and events)
Full assistance with the residence and work permits
Low cost of living in parallel with low personal income tax, growing your purchasing power to wine, dine and travel & work abroad & remote!
= TOTAL(LY):
amazing life & work with WorkNomads
About The Docking Station
WorkNomads is a global employer for digital nomads, empowering people to live life their way, offering flexible co-living and remote and project-based jobs.
Interest piqued? Join us!
We celebrate the right of every human to be themselves and provide opportunities for global talent to shine. Diversity, social equity, and inclusion are at the core of who we are. We create an environment where different voices are respected, heard and empowered in equal measure. We’re breaking down the boundaries by designing a new nomadic economy by enabling people to do what they love and be where they want.
Show more
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Other
Industries
Human Resources Services",2026-01-25T20:10:38.973954
